Name ,Location,"Classification (Cattle ranch, Veggie farmer, etc)",more Detail,Owned/run by PIBOC?,Detailed Demographic Information,Short description/additional Details ,Website ,Social ,Contact,Notes,Adress (if avalible),,Lat,Long
Herson's Farm,CA,Free Range Eggs,,?,,,https://www.hersonsfarm.org/,https://www.instagram.com/hersonsfarm/,https://www.hersonsfarm.org/,,,,,
Paume Gardens / Solidarity Farm,CA,Citrus and Avacado ,,Yes - indegious ,,"Agricultural venture of the Pauma Band of Luiseno Indians. They also produce 160 acres of citrus and avocado and steward more than 6,000 acres of their traditional homeland.",https://www.solidarityfarmsd.com/#!contact/c1uuh,,,,,,,
Hukama Produce ,CA,Fruit and Veggie,,Yes  ,,Specializing in African crops such as groundnuts and maize,https://www.foodshedsmallfarmdistro.com/producers/hukama-produce,,https://www.facebook.com/groups/233521480024743/user/100001166939148,,,,,
Mudborne Grown,OR,Farm ,,Yes - black-owned farm,,"Mudbone Grown is a black-owned farm enterprise that promotes inter-generational community-based farming that creates measurable and sustainable environmental, social, cultural, and economic impacts in communities.",https://www.mudbonegrown.com/home,https://www.instagram.com/mudbonegrown/,info@mudbonegrown.com ,,,,,
Black Cottom,NC,Cotton,,Yes - black-owned ,,"We are a business that centers and uplifts the Black community closest to the cotton fields in Northampton County, North Carolina. 
We create genuine and distinguished home décor, jewelry, and accessories hand-made with cotton that we cultivate and care for.",https://www.blackcotton.us/about-us,https://www.instagram.com/blackcotton.us/,blackcotton.us@gmail.com,,,,36.44928,-77.560829
Southwest Black Ranchers,AZ, natural meat and veggies,,Yes - black-owned ,,"Southwest Black Ranchers is dedicated to building a reliable institution that not only provides healthy food, but more diversity and equal representation within the food industry and in agriculture.",http://southwestblackranchers.com/,https://www.instagram.com/southwestblackranchers/,Southwestblackranchers@gmail.com ,"Relevively new, ran a kickstarter in 2020 that is still active",,,31.344481,-109.545532
Dodo Farms,MD,Produce,"wide variety of seasonal vegetables such as spinach, kale, potatoes, broccoli, carrots, beets, tomato, peppers, arugula, raspberry, blackberry, collard greens, cabbage, lettuce ",Yes - black-owned,,"Certified Naturally Grown produce, pasture raised chickens, turkeys and eggs are free of chemicals, pesticides, fertilizers and other harmful substances",https://www.dodofarmsmd.com/dodo-farms,https://www.instagram.com/dodofarms/,https://www.dodofarmsmd.com/contact-us,Niyi had been farming on 100 hectares of land in Nigeria for 12 years prior to moving to the U.S the join his wife,,,,
Triple J Farms,NY,Eggs,Free Range,Yes - black owned,,"At Triple J Farm we are a multi-generational black owned establishment in Windsor, New York. Our primary focus is to have an environment that is completely free and clean for our animals to thrive in. All of our animals are locally grown and we service all of NYC from farm to table. ",https://triplejfarmnyc.com/,https://www.instagram.com/triplejfarm_ny/,,a multi-generational black owned,,,,
Pembroke Farmland Restoration,IL,Farmland Restoration,"working towards restoring at least 1,000 acres of farmland",Yes - black-owned ,," Pembroke Township, Illinois, was once the home of the largest Black farming community North of the Mason-Dixon Line. Founded in the 1860s by runaway slaves, Pap and Mary Eliza Tetter, Pembroke Township became a Black agricultural hub. ",https://www.blackoakscenter.org/black-farmland-retention,https://www.blackoakscenter.org/blog,https://www.blackoakscenter.org/black-farmland-retention,,,,,
WILDSEED,NY,Produce ,,Yes,,"We are a collective of people committed to stewarding this incredible resource as a permanent safe space for the sustenance and strength of our movement community, and a site of belonging for people historically disenfranchised from land. We are a community by and for Black, Indigenous and People of Color, queer and trans folks, farmers, artists, activists, healers on the frontlines of state violence and environmental injustice.",http://www.wildseedcommunity.org/,,love@wildseedcommunity.org,,,,41.98871,-73.51412
