Name,Location,Classifications,Additional Classification Details,BIBOC Owned?,Detailed Demographic Information,Short description/additional Details ,Website,Social,Contact,Notes,Address or General Location,Lat,Long
Paume Gardens / Solidarity Farm,CA,produce,citrus and avocado ,Yes ,Indigenous,"Agricultural venture of the Pauma Band of Luiseno Indians. They also produce 160 acres of citrus and avocado and steward more than 6,000 acres of their traditional homeland.",https://www.solidarityfarmsd.com/#!contact/c1uuh,,,,"14909 Pauma Valley DR, Pauma Valley CA 92061 ",33.31132308,-117.0065452
Hukama Produce ,CA,produce,fruit and veggie,Yes  ,,Specializing in African crops such as groundnuts and maize,https://www.foodshedsmallfarmdistro.com/producers/hukama-produce,,https://www.facebook.com/groups/233521480024743/user/100001166939148,,"2561 44th St, San Diego, CA 92105",32.73283729,-117.0996214
Mudborne Grown,OR,produce ,,Yes,Black,"Mudbone Grown is a black-owned farm enterprise that promotes inter-generational community-based farming that creates measurable and sustainable environmental, social, cultural, and economic impacts in communities.",https://www.mudbonegrown.com/home,https://www.instagram.com/mudbonegrown/,info@mudbonegrown.com ,,"7900 NE 33rd Dr, Portland, OR 97211",45.58043492,-122.6321763
Black Cotton,NC,cotton,,Yes,Black,"We are a business that centers and uplifts the Black community closest to the cotton fields in Northampton County, North Carolina. 
We create genuine and distinguished home décor, jewelry, and accessories hand-made with cotton that we cultivate and care for.",https://www.blackcotton.us/about-us,https://www.instagram.com/blackcotton.us/,blackcotton.us@gmail.com,,,36.44928,-77.560829
Southwest Black Ranchers,AZ,natural meat and veggies,"veggies, grass fed chicken, turkey, beef, eggs",Yes ,Black,"Southwest Black Ranchers is dedicated to building a reliable institution that not only provides healthy food, but more diversity and equal representation within the food industry and in agriculture.",http://southwestblackranchers.com/,https://www.instagram.com/southwestblackranchers/,Southwestblackranchers@gmail.com ,"Relatively new, ran a kickstarter in 2020 that is still active",,31.344481,-109.545532
Dodo Farms,MD,produce,"wide variety of seasonal vegetables such as spinach, kale, potatoes, broccoli, carrots, beets, tomato, peppers, arugula, raspberry, blackberry, collard greens, cabbage, lettuce ",Yes,Black,"Certified Naturally Grown produce, pasture raised chickens, turkeys and eggs are free of chemicals, pesticides, fertilizers and other harmful substances",https://www.dodofarmsmd.com/dodo-farms,https://www.instagram.com/dodofarms/,https://www.dodofarmsmd.com/contact-us,Niyi had been farming on 100 hectares of land in Nigeria for 12 years prior to moving to the U.S the join his wife,Brookeville MD,39.18225014,-77.05747546
Triple J Farms,NY,eggs,free range,Yes,Black,"At Triple J Farm we are a multi-generational black owned establishment in Windsor, New York. Our primary focus is to have an environment that is completely free and clean for our animals to thrive in. All of our animals are locally grown and we service all of NYC from farm to table. ",https://triplejfarmnyc.com/,https://www.instagram.com/triplejfarm_ny/,,a multi-generational black owned,"Windsor, NY",42.07989915,-75.6363252
Pembroke Farmland Restoration,IL,farmland restoration,"working towards restoring at least 1,000 acres of farmland",Yes,Black," Pembroke Township, Illinois, was once the home of the largest Black farming community North of the Mason-Dixon Line. Founded in the 1860s by runaway slaves, Pap and Mary Eliza Tetter, Pembroke Township became a Black agricultural hub. ",https://www.blackoakscenter.org/black-farmland-retention,https://www.blackoakscenter.org/blog,https://www.blackoakscenter.org/black-farmland-retention,,"6735 S South Chicago Ave, Chicago, IL 60637",41.7724761,-87.61408792
WILDSEED,NY,produce ,,Yes ,,"We are a collective of people committed to stewarding this incredible resource as a permanent safe space for the sustenance and strength of our movement community, and a site of belonging for people historically disenfranchised from land. We are a community by and for Black, Indigenous and People of Color, queer and trans folks, farmers, artists, activists, healers on the frontlines of state violence and environmental injustice.",http://www.wildseedcommunity.org/,,love@wildseedcommunity.org,,,41.98871,-73.51412
Ogema Organics,MN,produce ,local native and heirloom produce initiative,Yes,Indigenous,"Ogema Organics is a native food sovereignty initiative on White Earth, or Gaa-waabaabiganikaag. Our initiative strives to drive the transition from food dependence to food independence. ",https://ogemaorganics.wordpress.com/,https://twitter.com/OgemaO,https://ogemaorganics.wordpress.com/contact/,,,47.09994,-95.84207
Live Organically,MN,produce,,Yes,"Black, Women","Live Organically, is a woman black-owned Minnesota business, we currently own and operate five acres of land in Oak Grove, MN. Our mission is to produce quality food that sustains the natural environment and the communities we serve. ",https://www.liveorganicallymn.com/,https://www.instagram.com/liveorganicallymn/?hl=en,info@liveorganicallymn.com      ,,,45.347649,-93.329887
Sin Fronteras Farm,MN,produce,,Yes,Indigenous/Mexicanx,"Our mission is to cultivate culturally appropriate foods for our communities using sustainable organic growing practices that restore and respect our mother earth, tonantzin.",https://sinfronterasfarm.com/,https://www.instagram.com/sinfronterastc/,sinfronterastc@gmail.com,,"11601 75th St N. Stillwater, 55082",45.05782,-92.87377
Rainbow Sprinkles Farm,TX,seeds ,heirloom seeds,Yes ,,We are a Mexican Farmer family with 9 years of beyond organic farming experience ,,https://www.instagram.com/rainbow.sprinkles.farm/?hl=en,rainbow.sprinkles.farm@gmail.com,,endingburg ,26.33147104,-98.16150956
Get Growing Collective ,IL,produce ,,Yes,,The Getting Grown Collective (GGC) is a multigenerational group of people with diverse experiences and backgrounds who care about the development of Black and Brown communities in Chicago.,https://gettinggrown2017.wixsite.com/mysite-2,,gettinggrown2017@gmail.com,,"W 63rd St & S Morgan St,
Chicago, IL 60621",41.77969,-87.64965
